season,weather,Day,Month,DayPeriod,temp,humidity,windspeed,casual,registered,rented_bikes_count,Year,Profit
Spring,Clear,Thursday,February,afternoon,,40.0,,2,145,147,2011,657.7287671232876
Winter,Clear,Saturday,November,morning,,61.0,,18,142,160,2011,920.0287671232876
Winter,Mist,Monday,November,morning,12.3,49.0,16.9979,8,453,461,2012,2085.328767123288
Summer,Clear,Tuesday,May,evening,27.88,57.0,23.9994,42,323,365,2011,2111.128767123288
Spring,Clear,Sunday,February,morning,,46.0,,48,126,174,2011,1367.2287671232878
Spring,Clear,Friday,January,morning,9.84,38.0,40.9973,12,102,114,2012,644.8287671232877
Spring,Clear,Thursday,March,morning,21.32,,11.0014,11,122,133,2012,713.6287671232876
Summer,Clear,Friday,May,morning,18.86,,,41,579,620,2012,3194.728767123288
Winter,Rainy,Sunday,October,morning,17.22,67.0,,11,51,62,2012,408.32876712328766
Winter,Mist,Saturday,December,afternoon,,48.0,16.9979,32,204,236,2011,1427.4287671232876
Summer,Clear,Thursday,April,morning,,,,3,18,21,2011,128.82876712328766
Spring,Clear,Saturday,January,morning,7.38,55.0,0.0,3,25,28,2011,158.92876712328766
Spring,Clear,Thursday,March,morning,17.22,94.0,,15,579,594,2012,2747.528767123288
Spring,Mist,Thursday,March,afternoon,25.42,43.0,43.0006,48,155,203,2012,1491.9287671232876
Spring,Mist,Monday,March,morning,22.96,68.0,11.0014,56,145,201,2012,1586.5287671232877
Summer,Clear,Friday,June,morning,27.06,,,10,94,104,2011,576.0287671232877
Winter,Clear,Friday,October,morning,17.22,94.0,0.0,5,237,242,2011,1104.9287671232876
Summer,Clear,Tuesday,April,morning,19.68,63.0,,0,3,3,2011,12.728767123287671
Spring,Clear,Monday,February,afternoon,15.58,43.0,,11,426,437,2012,2020.828767123288
Fall,Clear,Wednesday,July,morning,27.88,74.0,,27,96,123,2012,877.0287671232877
Spring,Clear,Friday,January,morning,,,16.9979,9,50,59,2011,369.6287671232877
Spring,Clear,Tuesday,January,evening,18.86,67.0,,6,174,180,2012,851.2287671232876
Fall,Clear,Saturday,September,morning,,73.0,11.0014,17,18,35,2011,369.6287671232877
Winter,Rainy,Wednesday,December,morning,,55.0,26.0027,5,119,124,2012,597.5287671232877
Summer,Clear,Sunday,May,evening,22.14,88.0,0.0,53,138,191,2011,1504.8287671232877
Summer,Clear,Monday,April,morning,21.32,83.0,11.0014,10,123,133,2012,700.7287671232876
Winter,Mist,Tuesday,October,morning,22.96,,,27,75,102,2011,786.7287671232876
Fall,Mist,Wednesday,August,morning,,,7.0015,4,35,39,2012,219.12876712328767
Spring,Clear,Thursday,March,afternoon,,,26.0027,95,331,426,2012,3057.128767123288
Fall,Mist,Wednesday,August,morning,,66.0,0.0,33,308,341,2012,1891.828767123288
Winter,Mist,Thursday,November,evening,14.76,,19.0012,8,160,168,2011,825.4287671232877
Summer,Mist,Sunday,April,morning,,93.0,6.0032,0,4,4,2011,17.028767123287672
Fall,Clear,Tuesday,July,morning,27.06,74.0,,1,7,8,2011,47.12876712328767
Winter,Clear,Thursday,November,evening,12.3,42.0,16.9979,3,113,116,2011,537.3287671232877
Spring,Clear,Thursday,February,morning,9.84,,15.0013,4,95,99,2012,477.1287671232877
Summer,Mist,Saturday,May,afternoon,,69.0,23.9994,156,278,434,2012,3878.428767123288
Winter,Mist,Wednesday,December,evening,13.94,66.0,,6,169,175,2011,829.7287671232876
Fall,Clear,Tuesday,September,morning,28.7,61.0,11.0014,33,120,153,2011,1083.4287671232876
Fall,Clear,Thursday,July,morning,26.24,73.0,,7,171,178,2012,855.5287671232877
Fall,Clear,Monday,September,evening,24.6,40.0,12.998,34,356,390,2012,2115.428767123288
Spring,Clear,Monday,January,morning,,44.0,23.9994,0,5,5,2011,21.328767123287676
Summer,Mist,Tuesday,April,morning,20.5,68.0,,20,331,351,2011,1767.1287671232876
Fall,Clear,Wednesday,September,evening,,79.0,,18,278,296,2012,1504.8287671232877
Fall,Clear,Monday,July,afternoon,32.8,46.0,0.0,235,173,408,2011,4785.728767123287
Spring,Clear,Saturday,January,afternoon,5.74,39.0,,3,52,55,2011,275.02876712328765
Summer,Mist,Friday,April,morning,13.12,87.0,,1,8,9,2011,51.42876712328767
Summer,Rainy,Tuesday,May,evening,24.6,,22.0028,10,53,63,2012,399.7287671232877
Winter,Rainy,Monday,December,evening,17.22,,15.0013,6,41,47,2012,279.32876712328766
Summer,Rainy,Saturday,April,afternoon,20.5,88.0,,6,27,33,2011,219.12876712328767
Winter,Clear,Monday,December,afternoon,,40.0,16.9979,19,189,208,2011,1139.3287671232877
Winter,Clear,Tuesday,November,evening,,56.0,15.0013,19,186,205,2012,1126.4287671232876
Winter,Mist,Saturday,December,morning,,93.0,7.0015,1,19,20,2012,98.72876712328768
Winter,Mist,Tuesday,October,evening,21.32,77.0,12.998,7,63,70,2011,391.1287671232877
Summer,Clear,Monday,June,afternoon,26.24,38.0,30.0026,101,733,834,2012,4888.928767123288
Winter,Mist,Monday,November,evening,,,,31,273,304,2012,1706.9287671232876
Spring,Clear,Friday,March,afternoon,,42.0,,13,74,87,2011,541.6287671232876
Spring,Clear,Thursday,February,morning,9.02,75.0,30.0026,0,1,1,2012,4.128767123287672
Spring,Clear,Tuesday,January,morning,,87.0,11.0014,2,2,4,2012,42.82876712328767
Winter,Clear,Sunday,December,evening,,76.0,8.9981,8,116,124,2011,636.2287671232876
Spring,Mist,Saturday,January,morning,7.38,55.0,6.0032,1,15,16,2011,81.52876712328768
Winter,Clear,Monday,December,afternoon,15.58,46.0,11.0014,24,135,159,2011,993.1287671232876
Spring,Clear,Tuesday,January,afternoon,15.58,,22.0028,8,95,103,2012,545.9287671232877
Spring,Rainy,Sunday,February,morning,,68.0,,0,21,21,2012,90.12876712328767
Spring,Clear,Tuesday,March,morning,21.32,77.0,,28,115,143,2012,975.9287671232876
Spring,Clear,Wednesday,February,morning,9.84,70.0,,13,495,508,2012,2351.928767123288
Winter,Rainy,Sunday,December,afternoon,14.76,93.0,,20,209,229,2012,1242.5287671232877
Fall,Clear,Thursday,July,afternoon,30.34,,8.9981,78,517,595,2011,3564.528767123288
Winter,Mist,Thursday,November,morning,16.4,,,1,3,4,2011,29.928767123287678
Winter,Clear,Monday,October,afternoon,30.34,,0.0,147,223,370,2011,3487.128767123288
Spring,Clear,Wednesday,January,morning,,82.0,7.0015,11,488,499,2012,2287.428767123288
Fall,Clear,Monday,September,morning,24.6,,6.0032,26,382,408,2011,2089.628767123288
Winter,Mist,Thursday,October,morning,25.42,88.0,0.0,5,6,11,2012,111.62876712328767
Fall,Mist,Monday,July,morning,31.16,55.0,,177,172,349,2011,3783.828767123288
Spring,Mist,Saturday,March,morning,12.3,81.0,7.0015,5,20,25,2011,171.82876712328766
Winter,Clear,Sunday,December,afternoon,13.12,,,23,184,207,2011,1186.6287671232876
Winter,Clear,Friday,December,afternoon,14.76,,8.9981,39,336,375,2012,2115.428767123288
Fall,Clear,Thursday,September,morning,26.24,69.0,11.0014,0,20,20,2011,85.82876712328768
Winter,Mist,Thursday,November,morning,13.94,81.0,6.0032,8,394,402,2011,1831.628767123288
Winter,Mist,Tuesday,December,morning,18.86,87.0,12.998,0,3,3,2011,12.728767123287671
Fall,Mist,Sunday,September,morning,27.06,89.0,12.998,33,76,109,2011,894.2287671232876
Spring,Clear,Tuesday,January,morning,17.22,38.0,19.9995,13,127,140,2012,769.5287671232877
Fall,Clear,Wednesday,August,afternoon,31.16,48.0,12.998,91,340,431,2012,3027.028767123288
Summer,Clear,Tuesday,June,morning,23.78,88.0,11.0014,2,30,32,2011,163.22876712328767
Spring,Clear,Sunday,January,afternoon,16.4,37.0,19.9995,77,266,343,2012,2468.028767123288
Fall,Clear,Wednesday,July,morning,26.24,89.0,,0,5,5,2012,21.328767123287676
Winter,Clear,Sunday,November,morning,13.94,,8.9981,5,18,23,2011,163.22876712328767
Spring,Clear,Sunday,January,morning,7.38,40.0,19.9995,42,192,234,2012,1547.8287671232877
Fall,Clear,Saturday,July,morning,,70.0,6.0032,123,278,401,2012,3310.828767123288
Summer,Clear,Tuesday,June,afternoon,32.8,55.0,,86,725,811,2012,4596.528767123287
Fall,Mist,Friday,July,afternoon,32.8,,23.9994,53,163,216,2011,1612.3287671232877
Spring,Mist,Sunday,February,evening,12.3,,19.0012,22,81,103,2012,726.5287671232877
Winter,Clear,Saturday,October,afternoon,19.68,33.0,12.998,243,354,597,2012,5701.628767123288
Spring,Rainy,Saturday,February,morning,,,15.0013,0,9,9,2012,38.52876712328767
Winter,Clear,Sunday,November,evening,17.22,71.0,12.998,16,93,109,2012,674.9287671232877
Spring,Rainy,Monday,January,evening,6.56,80.0,,4,29,33,2011,193.3287671232877
Winter,Clear,Monday,October,morning,20.5,55.0,16.9979,7,107,114,2011,580.3287671232877
Fall,Mist,Thursday,August,morning,27.88,89.0,0.0,0,7,7,2011,29.928767123287678
Summer,Mist,Sunday,April,afternoon,18.86,,,148,126,274,2011,3087.228767123288
Spring,Mist,Wednesday,February,evening,,,,3,122,125,2012,576.0287671232877
Spring,Clear,Monday,March,morning,8.2,59.0,,13,415,428,2012,2007.928767123288
Summer,Clear,Thursday,April,afternoon,19.68,,16.9979,68,265,333,2011,2308.928767123288
Spring,Clear,Saturday,January,evening,20.5,39.0,,21,149,170,2012,1001.7287671232876
Winter,Clear,Friday,November,evening,,37.0,,14,182,196,2011,1023.2287671232876
Winter,Clear,Saturday,October,afternoon,,,,256,229,485,2011,5387.728767123287
Summer,Clear,Thursday,April,afternoon,20.5,27.0,26.0027,60,596,656,2012,3594.628767123288
Spring,Clear,Wednesday,January,morning,0.82,44.0,,5,310,315,2012,1418.8287671232877
Summer,Mist,Tuesday,April,afternoon,,64.0,,44,377,421,2011,2377.728767123288
Fall,Clear,Saturday,September,morning,,41.0,,119,323,442,2012,3435.528767123288
Spring,Clear,Wednesday,February,morning,11.48,,,0,25,25,2012,107.32876712328768
Spring,Mist,Tuesday,February,evening,9.02,,6.0032,2,34,36,2011,180.42876712328768
Spring,Mist,Thursday,February,afternoon,,55.0,,18,211,229,2012,1216.7287671232878
Spring,Mist,Saturday,March,afternoon,19.68,59.0,23.9994,60,104,164,2011,1479.0287671232877
Spring,Clear,Thursday,January,morning,6.56,,,0,4,4,2011,17.028767123287672
Fall,Clear,Monday,July,morning,26.24,89.0,,6,86,92,2012,472.82876712328766
Spring,Clear,Tuesday,February,evening,6.56,40.0,31.0009,1,100,101,2011,447.0287671232877
Summer,Clear,Sunday,April,morning,14.76,,8.9981,9,88,97,2012,533.0287671232877
Spring,Clear,Thursday,March,afternoon,,,,79,634,713,2012,4084.828767123288
Spring,Clear,Saturday,February,evening,12.3,,,2,42,44,2011,214.8287671232877
Winter,Clear,Friday,December,morning,9.02,80.0,0.0,3,84,87,2011,412.6287671232877
Fall,Mist,Wednesday,July,morning,27.06,83.0,,26,471,497,2012,2472.328767123288
Spring,Mist,Monday,March,morning,13.94,57.0,7.0015,2,86,88,2012,404.0287671232877
Fall,Clear,Thursday,July,evening,,50.0,8.9981,58,203,261,2011,1870.328767123288
Spring,Mist,Monday,March,afternoon,22.14,32.0,16.9979,74,176,250,2012,2029.428767123288
Spring,Mist,Saturday,March,morning,18.04,94.0,6.0032,13,87,100,2012,597.5287671232877
Fall,Clear,Sunday,August,evening,,79.0,,51,157,208,2012,1552.1287671232876
Winter,Clear,Sunday,October,afternoon,,,,44,162,206,2011,1453.2287671232878
Winter,Clear,Tuesday,December,afternoon,,59.0,,43,700,743,2012,3749.428767123288
Spring,Clear,Monday,February,morning,13.94,,,1,1,2,2011,21.328767123287676
Summer,Clear,Thursday,April,afternoon,22.96,46.0,0.0,52,186,238,2012,1694.0287671232877
Summer,Clear,Thursday,June,evening,25.42,,15.0013,23,89,112,2011,778.1287671232876
Fall,Clear,Thursday,July,evening,28.7,42.0,,81,267,348,2011,2541.128767123288
Spring,Clear,Friday,February,evening,13.94,49.0,7.0015,11,256,267,2012,1289.8287671232877
Fall,Clear,Saturday,July,evening,36.08,37.0,,51,150,201,2012,1522.0287671232877
Summer,Clear,Sunday,May,morning,21.32,68.0,11.0014,6,15,21,2012,167.52876712328765
Summer,Clear,Friday,May,morning,21.32,83.0,,6,46,52,2011,300.82876712328766
Fall,Clear,Monday,September,afternoon,22.96,68.0,8.9981,56,484,540,2011,3044.228767123288
Summer,Clear,Saturday,June,morning,29.52,,12.998,68,176,244,2011,1926.228767123288
Winter,Rainy,Monday,December,morning,18.86,94.0,15.0013,8,126,134,2012,679.2287671232876
Winter,Clear,Friday,November,morning,,49.0,,0,13,13,2011,55.72876712328767
Spring,Mist,Saturday,February,evening,9.84,87.0,8.9981,4,66,70,2012,352.4287671232877
Winter,Mist,Saturday,November,afternoon,17.22,,19.0012,118,245,363,2011,3082.928767123288
Summer,Rainy,Tuesday,May,morning,23.78,83.0,8.9981,1,5,6,2012,38.52876712328767
Winter,Rainy,Sunday,November,afternoon,17.22,71.0,7.0015,39,146,185,2011,1298.4287671232876
Summer,Rainy,Wednesday,May,evening,,,,17,133,150,2011,864.1287671232876
Summer,Mist,Monday,June,afternoon,32.8,,,63,185,248,2012,1878.928767123288
Winter,Clear,Friday,December,afternoon,13.94,,0.0,10,308,318,2011,1496.2287671232878
Fall,Clear,Wednesday,July,morning,31.16,55.0,0.0,1,11,12,2011,64.32876712328768
Summer,Clear,Friday,April,morning,,71.0,19.0012,10,63,73,2011,442.7287671232877
Summer,Clear,Thursday,April,morning,13.94,49.0,12.998,15,339,354,2012,1715.5287671232877
Summer,Mist,Saturday,May,afternoon,,31.0,12.998,164,382,546,2012,4463.228767123287
Summer,Clear,Thursday,June,morning,20.5,77.0,7.0015,0,5,5,2012,21.328767123287676
Winter,Clear,Thursday,December,morning,9.84,,15.0013,5,380,385,2012,1719.8287671232877
Fall,Clear,Monday,July,morning,,70.0,,18,329,347,2011,1724.1287671232876
Winter,Clear,Saturday,December,morning,13.12,57.0,,31,161,192,2011,1225.3287671232877
Winter,Clear,Wednesday,November,morning,,87.0,0.0,20,452,472,2011,2287.428767123288
Summer,Clear,Tuesday,May,evening,28.7,54.0,8.9981,58,429,487,2012,2842.128767123288
Fall,Clear,Thursday,August,morning,32.8,,,72,133,205,2012,1810.128767123288
Spring,Clear,Monday,March,morning,7.38,59.0,,2,89,91,2012,416.9287671232877
Winter,Rainy,Thursday,October,morning,26.24,89.0,7.0015,2,37,39,2012,193.3287671232877
Spring,Mist,Friday,March,afternoon,19.68,,,56,146,202,2012,1590.8287671232877
Winter,Rainy,Thursday,October,morning,22.96,,7.0015,3,106,109,2011,507.2287671232877
Fall,Clear,Saturday,July,evening,,33.0,15.0013,156,149,305,2011,3323.728767123288
Winter,Clear,Thursday,November,evening,17.22,71.0,7.0015,11,198,209,2011,1040.4287671232876
Winter,Clear,Saturday,October,morning,18.04,58.0,27.9993,2,6,8,2011,60.02876712328767
Summer,Rainy,Wednesday,May,morning,,87.0,22.0028,1,8,9,2011,51.42876712328767
Spring,Mist,Friday,March,morning,13.94,100.0,6.0032,0,6,6,2011,25.628767123287677
Summer,Clear,Thursday,May,morning,21.32,48.0,35.0008,77,179,256,2012,2093.928767123288
Fall,Clear,Saturday,September,morning,18.86,,,28,80,108,2011,825.4287671232877
Winter,Mist,Saturday,November,morning,,,,1,58,59,2012,266.4287671232877
Winter,Clear,Thursday,December,evening,13.94,46.0,7.0015,9,219,228,2011,1096.3287671232877
Summer,Mist,Wednesday,April,morning,13.12,49.0,19.9995,20,282,302,2012,1556.4287671232876
Fall,Clear,Friday,August,morning,28.7,,6.0032,17,68,85,2012,584.6287671232876
Winter,Clear,Monday,December,afternoon,,49.0,22.0028,15,127,142,2011,803.9287671232877
Fall,Clear,Monday,August,morning,27.06,89.0,0.0,4,3,7,2011,81.52876712328768
Spring,Mist,Friday,February,morning,10.66,,8.9981,5,119,124,2012,597.5287671232877
Fall,Rainy,Tuesday,August,afternoon,31.16,66.0,19.0012,101,344,445,2012,3216.228767123288
Fall,Clear,Tuesday,July,afternoon,35.26,47.0,,32,104,136,2011,997.4287671232876
Summer,Mist,Monday,April,evening,,,,18,30,48,2011,438.4287671232877
Spring,Mist,Thursday,February,morning,5.74,,22.0028,1,86,87,2011,386.82876712328766
Spring,Clear,Monday,March,morning,,65.0,,0,1,1,2011,4.128767123287672
Winter,Mist,Saturday,November,afternoon,14.76,50.0,22.0028,136,319,455,2012,3710.728767123288
Spring,Rainy,Thursday,March,morning,14.76,0.0,,0,12,12,2011,51.42876712328767
Spring,Clear,Thursday,February,afternoon,,28.0,8.9981,3,157,160,2011,726.5287671232877
Spring,Clear,Tuesday,March,evening,26.24,47.0,,50,429,479,2012,2704.528767123288
Spring,Mist,Wednesday,March,afternoon,13.94,76.0,22.0028,10,102,112,2011,610.4287671232877
Fall,Clear,Saturday,September,afternoon,,65.0,15.0013,153,200,353,2011,3491.428767123288
Summer,Clear,Monday,June,evening,26.24,,16.9979,40,178,218,2011,1453.2287671232878
Spring,Clear,Sunday,February,evening,16.4,35.0,19.9995,5,31,36,2011,219.12876712328767
Summer,Mist,Monday,April,evening,27.88,,31.0009,17,58,75,2011,541.6287671232876
Summer,Clear,Saturday,April,morning,18.86,23.0,,320,270,590,2012,6664.828767123287
Summer,Clear,Friday,May,morning,15.58,62.0,7.0015,1,15,16,2011,81.52876712328768
Summer,Mist,Friday,April,morning,13.94,87.0,0.0,2,33,35,2011,176.12876712328767
Spring,Clear,Tuesday,March,evening,11.48,,12.998,3,38,41,2011,214.8287671232877
Summer,Clear,Thursday,June,morning,30.34,79.0,7.0015,3,13,16,2011,107.32876712328768
Winter,Clear,Thursday,October,morning,18.04,82.0,,1,41,42,2012,193.3287671232877
Summer,Clear,Tuesday,May,evening,27.06,61.0,,28,262,290,2011,1608.0287671232877
Fall,Clear,Wednesday,August,afternoon,32.8,,12.998,38,138,176,2011,1246.8287671232877
Spring,Clear,Sunday,January,morning,4.1,,,0,11,11,2011,47.12876712328767
Fall,Clear,Tuesday,September,morning,18.86,,6.0032,3,41,44,2012,227.72876712328767
Fall,Mist,Sunday,August,morning,25.42,61.0,11.0014,21,34,55,2012,507.2287671232877
Fall,Mist,Thursday,September,afternoon,24.6,,27.9993,25,110,135,2011,902.8287671232875
Spring,Mist,Saturday,January,morning,,57.0,,1,9,10,2012,55.72876712328767
Winter,Clear,Friday,October,morning,22.96,94.0,8.9981,1,6,7,2011,42.82876712328767
Spring,Mist,Saturday,February,evening,14.76,40.0,26.0027,12,62,74,2012,472.82876712328766
Winter,Mist,Friday,December,afternoon,,,11.0014,40,175,215,2012,1440.3287671232877
Winter,Mist,Sunday,October,afternoon,14.76,81.0,11.0014,61,195,256,2011,1887.528767123288
Winter,Mist,Monday,October,evening,23.78,78.0,6.0032,69,267,336,2011,2334.728767123288
Summer,Clear,Monday,April,morning,15.58,,,1,1,2,2011,21.328767123287676
Fall,Clear,Monday,September,afternoon,28.7,,12.998,56,515,571,2011,3177.528767123288
Fall,Clear,Wednesday,July,afternoon,30.34,70.0,16.9979,35,335,370,2012,2042.328767123288
Fall,Clear,Friday,September,morning,,88.0,7.0015,5,135,140,2012,666.3287671232877
Winter,Clear,Tuesday,October,afternoon,25.42,57.0,16.9979,58,246,304,2011,2055.228767123288
Winter,Clear,Sunday,October,morning,22.14,56.0,,150,278,428,2012,3775.228767123288
Summer,Clear,Saturday,June,afternoon,33.62,,19.0012,236,349,585,2012,5559.728767123287
Fall,Clear,Friday,July,evening,28.7,45.0,15.0013,114,280,394,2011,3164.628767123288
Winter,Clear,Sunday,November,morning,10.66,65.0,,2,7,9,2012,64.32876712328768
Spring,Clear,Monday,January,morning,,,,1,153,154,2011,674.9287671232877
Fall,Clear,Friday,August,evening,,,,73,153,226,2011,1913.328767123288
Spring,Clear,Tuesday,March,morning,,,,0,25,25,2012,107.32876712328768
Spring,Clear,Sunday,March,morning,13.12,49.0,,71,147,218,2012,1853.128767123288
Spring,Clear,Monday,February,afternoon,14.76,,12.998,5,206,211,2012,971.6287671232876
Spring,Mist,Sunday,March,morning,12.3,52.0,,2,21,23,2012,124.52876712328768
Spring,Clear,Thursday,March,evening,21.32,68.0,8.9981,32,137,169,2012,1139.3287671232877
Summer,Clear,Friday,April,afternoon,22.14,52.0,,50,112,162,2011,1341.4287671232876
Fall,Clear,Saturday,September,morning,31.16,62.0,,173,405,578,2012,4716.928767123288
Spring,Clear,Sunday,February,afternoon,13.94,46.0,6.0032,52,130,182,2011,1453.2287671232878
Fall,Clear,Friday,July,morning,32.8,,0.0,68,146,214,2011,1797.2287671232878
Summer,Clear,Monday,June,afternoon,,,,72,529,601,2011,3512.928767123288
Summer,Mist,Tuesday,June,morning,27.88,61.0,,45,432,477,2011,2631.428767123288
Fall,Clear,Saturday,July,afternoon,33.62,,,193,190,383,2011,4136.428767123288
Fall,Clear,Tuesday,September,afternoon,,55.0,,72,202,274,2012,2106.828767123288
Fall,Clear,Sunday,September,morning,21.32,77.0,12.998,16,39,55,2012,442.7287671232877
Spring,Mist,Tuesday,March,afternoon,15.58,25.0,7.0015,25,73,98,2011,743.7287671232876
Spring,Mist,Wednesday,January,morning,,,32.9975,1,1,2,2012,21.328767123287676
Fall,Mist,Tuesday,July,afternoon,,24.0,12.998,90,437,527,2012,3426.928767123288
Spring,Clear,Wednesday,February,evening,9.02,,16.9979,5,35,40,2011,236.3287671232877
Summer,Clear,Monday,May,evening,23.78,56.0,,83,463,546,2012,3418.328767123288
Winter,Clear,Thursday,November,evening,16.4,82.0,6.0032,15,80,95,2011,601.8287671232877
Winter,Clear,Thursday,November,evening,,,,11,222,233,2012,1143.6287671232876
Winter,Mist,Wednesday,November,morning,10.66,,19.0012,18,583,601,2012,2816.328767123288
Spring,Mist,Friday,March,morning,,100.0,,2,3,5,2011,47.12876712328767
Summer,Mist,Sunday,April,morning,14.76,76.0,,20,61,81,2012,606.1287671232876
Spring,Mist,Tuesday,January,afternoon,8.2,59.0,,3,60,63,2011,309.4287671232877
Summer,Clear,Tuesday,April,afternoon,24.6,26.0,11.0014,139,661,800,2012,5232.928767123288
Fall,Clear,Thursday,August,morning,27.88,83.0,,1,5,6,2012,38.52876712328767
Winter,Mist,Sunday,December,morning,13.94,,0.0,0,6,6,2012,25.628767123287677
Fall,Clear,Friday,August,morning,28.7,74.0,11.0014,6,14,20,2012,163.22876712328767
Winter,Rainy,Sunday,October,afternoon,16.4,,11.0014,87,246,333,2012,2554.028767123288
Spring,Clear,Thursday,March,morning,,62.0,22.0028,11,35,46,2012,339.52876712328765
Fall,Clear,Thursday,September,morning,28.7,79.0,0.0,24,622,646,2012,3087.228767123288
Spring,Mist,Friday,March,afternoon,,44.0,19.0012,29,176,205,2012,1255.4287671232876
Fall,Clear,Saturday,August,morning,,,6.0032,2,4,6,2011,51.42876712328767
Fall,Clear,Friday,August,morning,27.06,83.0,15.0013,5,158,163,2012,765.2287671232876
Summer,Clear,Friday,May,morning,,,8.9981,14,32,46,2012,378.2287671232877
Summer,Clear,Wednesday,June,evening,25.42,50.0,,29,209,238,2012,1397.3287671232877
Fall,Clear,Tuesday,July,afternoon,,,15.0013,70,749,819,2012,4424.528767123287
Fall,Clear,Wednesday,September,afternoon,28.7,34.0,8.9981,85,238,323,2012,2485.228767123288
Summer,Mist,Monday,April,morning,18.04,54.0,16.9979,7,150,157,2011,765.2287671232876
Winter,Clear,Sunday,December,afternoon,,58.0,,64,266,330,2011,2244.428767123288
Fall,Clear,Sunday,August,afternoon,,42.0,19.9995,118,206,324,2011,2915.228767123288
Summer,Clear,Sunday,April,morning,18.04,,,14,50,64,2012,455.6287671232877
Spring,Clear,Wednesday,January,afternoon,16.4,58.0,16.9979,7,68,75,2011,412.6287671232877
Summer,Clear,Friday,April,morning,,,0.0,12,49,61,2012,416.9287671232877
Spring,Clear,Thursday,March,evening,24.6,43.0,26.0027,27,206,233,2012,1350.0287671232877
